iter	Passed	Remaining
857	23386	3870
858	23407	3842
859	23428	3813
860	23447	3785
861	23468	3757
862	23488	3728
863	23511	3700
864	23534	3672
865	23554	3644
866	23577	3616
867	23604	3589
868	23626	3561
869	23648	3533
870	23667	3505
871	23687	3477
872	23708	3448
873	23733	3421
874	23752	3393
875	23772	3365
876	23792	3336
877	23818	3309
878	23838	3281
879	23859	3253
880	23879	3225
881	23899	3197
882	23918	3169
883	23937	3141
884	23956	3113
885	23977	3085
886	23996	3057
887	24016	3029
888	24037	3001
889	24060	2973
890	24081	2945
891	24104	2918
892	24131	2891
893	24150	2863
894	24171	2835
895	24191	2807
896	24212	2780
897	24231	2752
898	24253	2724
899	24273	2697
900	24294	2669
901	24314	2641
902	24334	2614
903	24356	2586
904	24376	2558
905	24395	2531
906	24415	2503
907	24436	2475
908	24455	2448
909	24475	2420
910	24494	2393
911	24514	2365
912	24534	2337
913	24554	2310
914	24574	2282
915	24597	2255
916	24617	2228
917	24637	2200
918	24656	2173
919	24676	2145
920	24696	2118
921	24717	2091
922	24736	2063
923	24756	2036
924	24775	2008
925	24796	1981
926	24816	1954
927	24837	1927
928	24856	1899
929	24875	1872
930	24895	1845
931	24915	1817
932	24935	1790
933	24958	1763
934	24982	1736
935	25004	1709
936	25033	1683
937	25056	1656
938	25079	1629
939	25100	1602
940	25121	1575
941	25141	1547
942	25162	1520
943	25181	1493
944	25202	1466
945	25224	1439
946	25250	1413
947	25270	1386
948	25293	1359
949	25314	1332
950	25335	1305
951	25361	1278
952	25383	1251
953	25408	1225
954	25429	1198
955	25450	1171
956	25470	1144
957	25492	1117
958	25513	1090
959	25535	1063
960	25564	1037
961	25586	1010
962	25607	983
963	25626	957
964	25646	930
965	25666	903
966	25687	876
967	25707	849
968	25726	823
969	25746	796
970	25766	769
971	25787	742
972	25805	716
973	25825	689
974	25845	662
975	25865	636
976	25886	609
977	25905	582
978	25925	556
979	25945	529
980	25968	502
981	25987	476
982	26006	449
983	26026	423
984	26049	396
985	26075	370
986	26099	343
987	26119	317
988	26140	290
989	26160	264
990	26181	237
991	26200	211
992	26220	184
993	26239	158
994	26262	131
995	26281	105
996	26300	79
997	26321	52
998	26340	26
999	26361	0
